Locus ID:YP_0969	KL Distance:0.690
Locus ID:YP_2606	KL Distance:0.411
Locus ID:YP_1857	KL Distance:0.411
Locus ID:YP_3940	KL Distance:0.411
Locus ID:YP_2942	KL Distance:0.410
Locus ID:YP_1724	KL Distance:0.409
Locus ID:YP_1205	KL Distance:0.407
Locus ID:YP_3415	KL Distance:0.405
Locus ID:YP_0955	KL Distance:0.405
Locus ID:YP_1140	KL Distance:0.404
Locus ID:YP_0707	KL Distance:0.403
Locus ID:YP_1033	KL Distance:0.401
Locus ID:YP_1326	KL Distance:0.401
Locus ID:YP_2235	KL Distance:0.399
Locus ID:YP_1723	KL Distance:0.398
Locus ID:YP_3568	KL Distance:0.397
Locus ID:YP_4006	KL Distance:0.397
Locus ID:YP_3690	KL Distance:0.396
Locus ID:YP_3932	KL Distance:0.394
Locus ID:YP_3668	KL Distance:0.393
Locus ID:YP_2851	KL Distance:0.392
Locus ID:YP_1076	KL Distance:0.392
Locus ID:YP_3171	KL Distance:0.391
Locus ID:YP_3476	KL Distance:0.390
Locus ID:YP_1058	KL Distance:0.390
Locus ID:YP_2842	KL Distance:0.390
Locus ID:YP_2645	KL Distance:0.389
Locus ID:YP_1062	KL Distance:0.389
Locus ID:YP_2264	KL Distance:0.388
Locus ID:YP_3762	KL Distance:0.388
Locus ID:YP_3163	KL Distance:0.388
Locus ID:YP_0230	KL Distance:0.388
Locus ID:YP_0874	KL Distance:0.388
Locus ID:YP_0191	KL Distance:0.388
Locus ID:YP_2310	KL Distance:0.388
Locus ID:YP_2944	KL Distance:0.386
Locus ID:YP_0745	KL Distance:0.385
Locus ID:YP_0267	KL Distance:0.385
Locus ID:YP_3003	KL Distance:0.385
Locus ID:YP_2689	KL Distance:0.383
Locus ID:YP_3470	KL Distance:0.383
Locus ID:YP_0445	KL Distance:0.383
Locus ID:YP_2181	KL Distance:0.381
Locus ID:YP_1930	KL Distance:0.381
Locus ID:YP_0490	KL Distance:0.381
Locus ID:YP_3109	KL Distance:0.380
Locus ID:YP_3417	KL Distance:0.380
Locus ID:YP_0796	KL Distance:0.379
Locus ID:YP_4007	KL Distance:0.379
Locus ID:YP_1604	KL Distance:0.378
Locus ID:YP_0365	KL Distance:0.377
Locus ID:YP_0075	KL Distance:0.377
Locus ID:YP_2726	KL Distance:0.377
Locus ID:YP_1506	KL Distance:0.377
Locus ID:YP_1648	KL Distance:0.377
Locus ID:YP_0199	KL Distance:0.376
Locus ID:YP_0112	KL Distance:0.376
Locus ID:YP_0591	KL Distance:0.376
Locus ID:YP_3063	KL Distance:0.376
Locus ID:YP_3958	KL Distance:0.376
Locus ID:YP_3999	KL Distance:0.376
Locus ID:YP_2920	KL Distance:0.375
Locus ID:YP_2152	KL Distance:0.375
Locus ID:YP_3885	KL Distance:0.375
Locus ID:YP_3120	KL Distance:0.375
Locus ID:YP_3894	KL Distance:0.375
Locus ID:YP_0305	KL Distance:0.374
Locus ID:YP_3859	KL Distance:0.374
Locus ID:YP_2588	KL Distance:0.374
Locus ID:YP_2440	KL Distance:0.373
Locus ID:YP_2213	KL Distance:0.373
Locus ID:YP_3870	KL Distance:0.372
Locus ID:YP_1530	KL Distance:0.372
Locus ID:YP_3032	KL Distance:0.371
Locus ID:YP_2972	KL Distance:0.371
Locus ID:YP_3393	KL Distance:0.371
Locus ID:YP_1255	KL Distance:0.370
Locus ID:YP_2922	KL Distance:0.370
Locus ID:YP_3008	KL Distance:0.369
Locus ID:YP_2219	KL Distance:0.369
Locus ID:YP_0252	KL Distance:0.369
Locus ID:YP_3759	KL Distance:0.368
Locus ID:YP_0819	KL Distance:0.367
Locus ID:YP_1152	KL Distance:0.367
Locus ID:YP_2100	KL Distance:0.367
Locus ID:YP_1368	KL Distance:0.366
Locus ID:YP_1514	KL Distance:0.366
Locus ID:YP_0857	KL Distance:0.364
Locus ID:YP_1288	KL Distance:0.364
Locus ID:YP_3771	KL Distance:0.364
Locus ID:YP_1786	KL Distance:0.364
Locus ID:YP_0795	KL Distance:0.364
Locus ID:YP_1031	KL Distance:0.363
Locus ID:YP_0342	KL Distance:0.363
Locus ID:YP_2867	KL Distance:0.362
Locus ID:YP_3457	KL Distance:0.361
Locus ID:YP_2218	KL Distance:0.360
Locus ID:YP_2976	KL Distance:0.360
Locus ID:YP_0764	KL Distance:0.360
Locus ID:YP_3117	KL Distance:0.359
Locus ID:YP_2159	KL Distance:0.359
Locus ID:YP_3712	KL Distance:0.359
Locus ID:YP_1505	KL Distance:0.358
Locus ID:YP_3570	KL Distance:0.358
Locus ID:YP_3642	KL Distance:0.358
Locus ID:YP_2303	KL Distance:0.356
Locus ID:YP_1725	KL Distance:0.356
Locus ID:YP_3232	KL Distance:0.356
Locus ID:YP_0511	KL Distance:0.355
Locus ID:YP_3413	KL Distance:0.355
Locus ID:YP_2537	KL Distance:0.354
Locus ID:YP_2854	KL Distance:0.354
Locus ID:YP_0226	KL Distance:0.354
Locus ID:YP_1559	KL Distance:0.354
Locus ID:YP_2018	KL Distance:0.353
Locus ID:YP_0568	KL Distance:0.353
Locus ID:YP_1024	KL Distance:0.352
Locus ID:YP_0885	KL Distance:0.352
Locus ID:YP_0193	KL Distance:0.351
Locus ID:YP_0446	KL Distance:0.351
Locus ID:YP_3368	KL Distance:0.351
Locus ID:YP_3938	KL Distance:0.351
Locus ID:YP_3070	KL Distance:0.351
Locus ID:YP_3901	KL Distance:0.351
Locus ID:YP_0596	KL Distance:0.350
Locus ID:YP_3983	KL Distance:0.350
Locus ID:YP_1856	KL Distance:0.349
Locus ID:YP_0705	KL Distance:0.349
Locus ID:YP_1518	KL Distance:0.348
Locus ID:YP_0078	KL Distance:0.348
Locus ID:YP_0216	KL Distance:0.348
Locus ID:YP_1992	KL Distance:0.347
Locus ID:YP_1817	KL Distance:0.347
Locus ID:YP_2342	KL Distance:0.347
Locus ID:YP_1157	KL Distance:0.346
Locus ID:YP_1503	KL Distance:0.345
Locus ID:YP_2489	KL Distance:0.345
Locus ID:YP_3451	KL Distance:0.343
Locus ID:YP_1673	KL Distance:0.342
Locus ID:YP_3961	KL Distance:0.342
Locus ID:YP_3456	KL Distance:0.341
Locus ID:YP_1998	KL Distance:0.341
Locus ID:YP_1551	KL Distance:0.341
Locus ID:YP_2108	KL Distance:0.341
Locus ID:YP_1116	KL Distance:0.341
Locus ID:YP_3786	KL Distance:0.341
Locus ID:YP_1408	KL Distance:0.341
Locus ID:YP_0473	KL Distance:0.340
Locus ID:YP_0516	KL Distance:0.340
Locus ID:YP_1877	KL Distance:0.340
Locus ID:YP_2027	KL Distance:0.340
Locus ID:YP_0151	KL Distance:0.339
Locus ID:YP_1046	KL Distance:0.339
Locus ID:YP_0803	KL Distance:0.339
Locus ID:YP_0129	KL Distance:0.339
Locus ID:YP_1516	KL Distance:0.339
Locus ID:YP_2236	KL Distance:0.338
Locus ID:YP_1150	KL Distance:0.338
Locus ID:YP_2734	KL Distance:0.337
Locus ID:YP_0824	KL Distance:0.337
Locus ID:YP_0225	KL Distance:0.337
Locus ID:YP_0890	KL Distance:0.337
Locus ID:YP_1486	KL Distance:0.336
Locus ID:YP_3034	KL Distance:0.336
Locus ID:YP_1519	KL Distance:0.336
Locus ID:YP_3873	KL Distance:0.335
Locus ID:YP_0384	KL Distance:0.335
Locus ID:YP_3319	KL Distance:0.335
Locus ID:YP_1139	KL Distance:0.335
Locus ID:YP_3006	KL Distance:0.334
Locus ID:YP_1119	KL Distance:0.334
Locus ID:YP_0201	KL Distance:0.333
Locus ID:YP_1289	KL Distance:0.333
Locus ID:YP_0492	KL Distance:0.333
Locus ID:YP_1151	KL Distance:0.333
Locus ID:YP_1353	KL Distance:0.332
Locus ID:YP_2032	KL Distance:0.332
Locus ID:YP_0426	KL Distance:0.332
Locus ID:YP_1732	KL Distance:0.332
Locus ID:YP_3297	KL Distance:0.331
Locus ID:YP_0210	KL Distance:0.331
Locus ID:YP_2478	KL Distance:0.331
Locus ID:YP_1603	KL Distance:0.331
Locus ID:YP_3266	KL Distance:0.331
Locus ID:YP_3569	KL Distance:0.331
Locus ID:YP_1345	KL Distance:0.330
Locus ID:YP_1380	KL Distance:0.330
Locus ID:YP_3600	KL Distance:0.330
Locus ID:YP_0052	KL Distance:0.330
Locus ID:YP_0346	KL Distance:0.329
Locus ID:YP_3714	KL Distance:0.329
Locus ID:YP_1450	KL Distance:0.329
Locus ID:YP_2992	KL Distance:0.329
Locus ID:YP_2340	KL Distance:0.328
Locus ID:YP_3296	KL Distance:0.328
Locus ID:YP_1120	KL Distance:0.328
Locus ID:YP_0228	KL Distance:0.328
Locus ID:YP_0103	KL Distance:0.327
Locus ID:YP_0161	KL Distance:0.327
Locus ID:YP_0493	KL Distance:0.327
Locus ID:YP_1845	KL Distance:0.326
Locus ID:YP_3542	KL Distance:0.326
Locus ID:YP_2866	KL Distance:0.326
Locus ID:YP_1290	KL Distance:0.326
Locus ID:YP_2679	KL Distance:0.326
Locus ID:YP_1482	KL Distance:0.325
Locus ID:YP_2589	KL Distance:0.325
Locus ID:YP_0343	KL Distance:0.324
Locus ID:YP_0835	KL Distance:0.324
Locus ID:YP_2977	KL Distance:0.324
Locus ID:YP_1977	KL Distance:0.324
Locus ID:YP_1984	KL Distance:0.324
Locus ID:YP_0541	KL Distance:0.323
Locus ID:YP_1776	KL Distance:0.323
Locus ID:YP_1820	KL Distance:0.323
Locus ID:YP_0234	KL Distance:0.323
Locus ID:YP_3009	KL Distance:0.323
Locus ID:YP_2224	KL Distance:0.323
Locus ID:YP_2276	KL Distance:0.322
Locus ID:YP_1658	KL Distance:0.322
Locus ID:YP_3035	KL Distance:0.322
Locus ID:YP_2202	KL Distance:0.321
Locus ID:YP_3152	KL Distance:0.321
Locus ID:YP_2821	KL Distance:0.321
Locus ID:YP_2739	KL Distance:0.321
Locus ID:YP_3452	KL Distance:0.320
Locus ID:YP_1522	KL Distance:0.320
Locus ID:YP_0218	KL Distance:0.320
Locus ID:YP_0869	KL Distance:0.320
Locus ID:YP_0491	KL Distance:0.319
Locus ID:YP_1934	KL Distance:0.319
Locus ID:YP_0478	KL Distance:0.319
Locus ID:YP_1990	KL Distance:0.319
Locus ID:YP_3164	KL Distance:0.319
Locus ID:YP_0818	KL Distance:0.319
Locus ID:YP_0324	KL Distance:0.318
Locus ID:YP_3156	KL Distance:0.318
Locus ID:YP_0737	KL Distance:0.318
Locus ID:YP_3962	KL Distance:0.318
Locus ID:YP_0722	KL Distance:0.318
Locus ID:YP_1651	KL Distance:0.318
Locus ID:YP_2845	KL Distance:0.318
Locus ID:YP_0419	KL Distance:0.317
Locus ID:YP_1360	KL Distance:0.317
Locus ID:YP_2938	KL Distance:0.317
Locus ID:YP_1974	KL Distance:0.317
Locus ID:YP_3113	KL Distance:0.317
Locus ID:YP_2015	KL Distance:0.317
Locus ID:YP_0207	KL Distance:0.317
Locus ID:YP_3817	KL Distance:0.316
Locus ID:YP_0121	KL Distance:0.316
Locus ID:YP_3229	KL Distance:0.316
Locus ID:YP_3289	KL Distance:0.315
Locus ID:YP_1378	KL Distance:0.315
Locus ID:YP_2431	KL Distance:0.315
Locus ID:YP_2572	KL Distance:0.315
Locus ID:YP_4012	KL Distance:0.315
Locus ID:YP_1324	KL Distance:0.315
Locus ID:YP_2485	KL Distance:0.314
Locus ID:YP_3465	KL Distance:0.314
Locus ID:YP_0590	KL Distance:0.314
Locus ID:YP_0810	KL Distance:0.314
Locus ID:YP_1611	KL Distance:0.314
Locus ID:YP_2259	KL Distance:0.314
Locus ID:YP_3071	KL Distance:0.314
Locus ID:YP_0144	KL Distance:0.313
Locus ID:YP_2393	KL Distance:0.313
Locus ID:YP_2058	KL Distance:0.313
Locus ID:YP_1483	KL Distance:0.313
Locus ID:YP_2752	KL Distance:0.313
Locus ID:YP_2620	KL Distance:0.313
Locus ID:YP_0773	KL Distance:0.313
Locus ID:YP_0233	KL Distance:0.313
Locus ID:YP_2891	KL Distance:0.312
Locus ID:YP_1938	KL Distance:0.312
Locus ID:YP_3422	KL Distance:0.312
Locus ID:YP_1989	KL Distance:0.312
Locus ID:YP_2720	KL Distance:0.312
Locus ID:YP_3310	KL Distance:0.312
Locus ID:YP_3935	KL Distance:0.312
Locus ID:YP_2653	KL Distance:0.311
Locus ID:YP_0793	KL Distance:0.311
Locus ID:YP_3154	KL Distance:0.311
Locus ID:YP_1382	KL Distance:0.311
Locus ID:YP_3382	KL Distance:0.311
Locus ID:YP_0858	KL Distance:0.310
Locus ID:YP_0076	KL Distance:0.310
Locus ID:YP_1566	KL Distance:0.310
Locus ID:YP_1439	KL Distance:0.310
Locus ID:YP_1643	KL Distance:0.310
Locus ID:YP_0543	KL Distance:0.310
Locus ID:YP_3112	KL Distance:0.309
Locus ID:YP_1123	KL Distance:0.309
Locus ID:YP_0395	KL Distance:0.309
Locus ID:YP_0213	KL Distance:0.309
Locus ID:YP_1860	KL Distance:0.309
Locus ID:YP_2677	KL Distance:0.309
Locus ID:YP_0972	KL Distance:0.309
Locus ID:YP_2160	KL Distance:0.308
Locus ID:YP_0099	KL Distance:0.308
Locus ID:YP_2688	KL Distance:0.308
Locus ID:YP_2119	KL Distance:0.308
Locus ID:YP_2943	KL Distance:0.308
Locus ID:YP_2204	KL Distance:0.308
Locus ID:YP_2667	KL Distance:0.308
Locus ID:YP_2561	KL Distance:0.308
Locus ID:YP_0856	KL Distance:0.308
Locus ID:YP_1645	KL Distance:0.308
Locus ID:YP_0382	KL Distance:0.307
Locus ID:YP_3246	KL Distance:0.307
Locus ID:YP_1200	KL Distance:0.307
Locus ID:YP_3346	KL Distance:0.307
Locus ID:YP_0458	KL Distance:0.306
Locus ID:YP_3639	KL Distance:0.306
Locus ID:YP_1037	KL Distance:0.306
Locus ID:YP_3105	KL Distance:0.306
Locus ID:YP_2203	KL Distance:0.306
Locus ID:YP_3114	KL Distance:0.306
Locus ID:YP_0051	KL Distance:0.305
Locus ID:YP_2459	KL Distance:0.305
Locus ID:YP_0418	KL Distance:0.305
Locus ID:YP_2519	KL Distance:0.305
Locus ID:YP_1874	KL Distance:0.305
Locus ID:YP_1346	KL Distance:0.305
Locus ID:YP_1476	KL Distance:0.304
Locus ID:YP_0391	KL Distance:0.304
Locus ID:YP_3498	KL Distance:0.304
Locus ID:YP_3201	KL Distance:0.304
Locus ID:YP_3060	KL Distance:0.304
Locus ID:YP_0414	KL Distance:0.304
Locus ID:YP_0725	KL Distance:0.304
Locus ID:YP_1533	KL Distance:0.303
Locus ID:YP_0651	KL Distance:0.303
Locus ID:YP_0987	KL Distance:0.303
Locus ID:YP_1599	KL Distance:0.303
Locus ID:YP_2540	KL Distance:0.303
Locus ID:YP_3525	KL Distance:0.303
Locus ID:YP_1366	KL Distance:0.303
Locus ID:YP_2729	KL Distance:0.303
Locus ID:YP_2272	KL Distance:0.303
Locus ID:YP_3023	KL Distance:0.303
Locus ID:YP_1571	KL Distance:0.303
Locus ID:YP_2045	KL Distance:0.303
Locus ID:YP_0215	KL Distance:0.302
Locus ID:YP_1652	KL Distance:0.302
Locus ID:YP_3691	KL Distance:0.302
Locus ID:YP_1361	KL Distance:0.302
Locus ID:YP_2650	KL Distance:0.302
Locus ID:YP_0251	KL Distance:0.302
Locus ID:YP_1410	KL Distance:0.302
Locus ID:YP_2141	KL Distance:0.302
Locus ID:YP_0539	KL Distance:0.302
Locus ID:YP_1523	KL Distance:0.302
Locus ID:YP_0486	KL Distance:0.302
Locus ID:YP_1417	KL Distance:0.302
Locus ID:YP_2539	KL Distance:0.301
Locus ID:YP_0917	KL Distance:0.301
Locus ID:YP_0561	KL Distance:0.301
Locus ID:YP_0898	KL Distance:0.301
Locus ID:YP_0085	KL Distance:0.301
Locus ID:YP_0443	KL Distance:0.301
Locus ID:YP_1073	KL Distance:0.301
Locus ID:YP_1342	KL Distance:0.301
Locus ID:YP_2096	KL Distance:0.301
Locus ID:YP_3276	KL Distance:0.301
Locus ID:YP_3377	KL Distance:0.301
Locus ID:YP_2999	KL Distance:0.301
Locus ID:YP_0220	KL Distance:0.301
Locus ID:YP_3314	KL Distance:0.300
Locus ID:YP_0545	KL Distance:0.300
Locus ID:YP_2773	KL Distance:0.300
Locus ID:YP_3306	KL Distance:0.300
Locus ID:YP_1268	KL Distance:0.300
Locus ID:YP_0318	KL Distance:0.299
Locus ID:YP_2921	KL Distance:0.299
Locus ID:YP_3052	KL Distance:0.299
Locus ID:YP_1146	KL Distance:0.299
Locus ID:YP_2455	KL Distance:0.299
Locus ID:YP_1574	KL Distance:0.299
Locus ID:YP_1394	KL Distance:0.299
Locus ID:YP_3440	KL Distance:0.298
Locus ID:YP_2582	KL Distance:0.298
Locus ID:YP_0757	KL Distance:0.298
Locus ID:YP_2321	KL Distance:0.298
Locus ID:YP_1259	KL Distance:0.298
Locus ID:YP_3963	KL Distance:0.298
Locus ID:YP_3030	KL Distance:0.298
Locus ID:YP_2089	KL Distance:0.297
Locus ID:YP_1373	KL Distance:0.297
Locus ID:YP_1375	KL Distance:0.297
Locus ID:YP_0700	KL Distance:0.297
Locus ID:YP_3477	KL Distance:0.297
Locus ID:YP_0280	KL Distance:0.297
Locus ID:YP_2879	KL Distance:0.297
Locus ID:YP_2850	KL Distance:0.297
Locus ID:YP_3573	KL Distance:0.297
Locus ID:YP_1143	KL Distance:0.297
Locus ID:YP_3680	KL Distance:0.297
Locus ID:YP_0192	KL Distance:0.297
Locus ID:YP_1311	KL Distance:0.297
Locus ID:YP_2180	KL Distance:0.296
Locus ID:YP_0031	KL Distance:0.296
Locus ID:YP_0249	KL Distance:0.296
Locus ID:YP_0401	KL Distance:0.296
Locus ID:YP_0547	KL Distance:0.296
Locus ID:YP_0649	KL Distance:0.296
Locus ID:YP_0681	KL Distance:0.296
Locus ID:YP_0871	KL Distance:0.296
Locus ID:YP_1166	KL Distance:0.296
Locus ID:YP_1491	KL Distance:0.296
Locus ID:YP_1642	KL Distance:0.296
Locus ID:YP_1716	KL Distance:0.296
Locus ID:YP_1821	KL Distance:0.296
Locus ID:YP_1929	KL Distance:0.296
Locus ID:YP_2185	KL Distance:0.296
Locus ID:YP_2444	KL Distance:0.296
Locus ID:YP_2531	KL Distance:0.296
Locus ID:YP_2764	KL Distance:0.296
Locus ID:YP_2830	KL Distance:0.296
Locus ID:YP_2885	KL Distance:0.296
Locus ID:YP_3294	KL Distance:0.296
Locus ID:YP_3523	KL Distance:0.296
Locus ID:YP_3617	KL Distance:0.296
Locus ID:YP_3796	KL Distance:0.296
Locus ID:YP_1531	KL Distance:0.296
Locus ID:YP_2460	KL Distance:0.296
Locus ID:YP_3576	KL Distance:0.296
Locus ID:YP_2560	KL Distance:0.296
Locus ID:YP_3148	KL Distance:0.295
Locus ID:YP_3593	KL Distance:0.295
Locus ID:YP_1121	KL Distance:0.295
Locus ID:YP_3520	KL Distance:0.295
Locus ID:YP_0394	KL Distance:0.295
Locus ID:YP_3889	KL Distance:0.295
Locus ID:YP_1567	KL Distance:0.295
Locus ID:YP_3854	KL Distance:0.295
Locus ID:YP_2668	KL Distance:0.295
Locus ID:YP_1485	KL Distance:0.294
Locus ID:YP_3001	KL Distance:0.294
Locus ID:YP_3911	KL Distance:0.294
Locus ID:YP_0505	KL Distance:0.294
Locus ID:YP_1377	KL Distance:0.294
Locus ID:YP_1644	KL Distance:0.294
Locus ID:YP_0765	KL Distance:0.294
Locus ID:YP_3004	KL Distance:0.294
Locus ID:YP_1070	KL Distance:0.293
Locus ID:YP_2663	KL Distance:0.293
Locus ID:YP_1867	KL Distance:0.293
Locus ID:YP_3944	KL Distance:0.293
Locus ID:YP_2337	KL Distance:0.293
Locus ID:YP_1327	KL Distance:0.293
Locus ID:YP_1480	KL Distance:0.293
Locus ID:YP_1125	KL Distance:0.293
Locus ID:YP_1578	KL Distance:0.293
Locus ID:YP_0666	KL Distance:0.293
Locus ID:YP_1354	KL Distance:0.292
Locus ID:YP_0980	KL Distance:0.292
Locus ID:YP_2496	KL Distance:0.292
Locus ID:YP_3408	KL Distance:0.292
Locus ID:YP_3499	KL Distance:0.292
Locus ID:YP_3622	KL Distance:0.292
Locus ID:YP_1069	KL Distance:0.292
Locus ID:YP_1387	KL Distance:0.292
Locus ID:YP_2627	KL Distance:0.291
Locus ID:YP_0542	KL Distance:0.291
Locus ID:YP_0957	KL Distance:0.291
Locus ID:YP_3845	KL Distance:0.291
Locus ID:YP_3332	KL Distance:0.291
Locus ID:YP_0102	KL Distance:0.291
Locus ID:YP_0792	KL Distance:0.291
Locus ID:YP_2518	KL Distance:0.291
Locus ID:YP_1074	KL Distance:0.291
Locus ID:YP_2779	KL Distance:0.291
Locus ID:YP_0630	KL Distance:0.290
Locus ID:YP_1966	KL Distance:0.290
Locus ID:YP_2859	KL Distance:0.290
Locus ID:YP_0935	KL Distance:0.290
Locus ID:YP_0639	KL Distance:0.290
Locus ID:YP_0243	KL Distance:0.290
Locus ID:YP_3681	KL Distance:0.290
Locus ID:YP_0019	KL Distance:0.290
Locus ID:YP_0098	KL Distance:0.290
Locus ID:YP_0753	KL Distance:0.290
Locus ID:YP_0965	KL Distance:0.290
Locus ID:YP_1056	KL Distance:0.290
Locus ID:YP_1168	KL Distance:0.290
Locus ID:YP_1187	KL Distance:0.290
Locus ID:YP_1224	KL Distance:0.290
Locus ID:YP_2098	KL Distance:0.290
Locus ID:YP_2182	KL Distance:0.290
Locus ID:YP_2252	KL Distance:0.290
Locus ID:YP_2621	KL Distance:0.290
Locus ID:YP_3010	KL Distance:0.290
Locus ID:YP_3331	KL Distance:0.290
Locus ID:YP_3517	KL Distance:0.290
Locus ID:YP_3905	KL Distance:0.290
Locus ID:YP_0203	KL Distance:0.290
Locus ID:YP_0269	KL Distance:0.290
Locus ID:YP_0744	KL Distance:0.290
Locus ID:YP_0853	KL Distance:0.290
Locus ID:YP_0878	KL Distance:0.290
Locus ID:YP_0995	KL Distance:0.290
Locus ID:YP_1325	KL Distance:0.290
Locus ID:YP_2130	KL Distance:0.290
Locus ID:YP_2245	KL Distance:0.290
Locus ID:YP_2527	KL Distance:0.290
Locus ID:YP_2682	KL Distance:0.290
Locus ID:YP_2694	KL Distance:0.290
Locus ID:YP_2735	KL Distance:0.290
Locus ID:YP_2815	KL Distance:0.290
Locus ID:YP_2903	KL Distance:0.290
Locus ID:YP_3193	KL Distance:0.290
Locus ID:YP_3239	KL Distance:0.290
Locus ID:YP_3641	KL Distance:0.290
Locus ID:YP_3648	KL Distance:0.290
Locus ID:YP_3700	KL Distance:0.290
Locus ID:YP_3822	KL Distance:0.290
Locus ID:YP_3342	KL Distance:0.290
Locus ID:YP_4033	KL Distance:0.290
Locus ID:YP_3466	KL Distance:0.290
Locus ID:YP_1997	KL Distance:0.290
Locus ID:YP_3758	KL Distance:0.289
Locus ID:YP_3390	KL Distance:0.289
Locus ID:YP_0914	KL Distance:0.289
Locus ID:YP_3309	KL Distance:0.289
Locus ID:YP_2807	KL Distance:0.289
Locus ID:YP_0214	KL Distance:0.289
Locus ID:YP_2877	KL Distance:0.288
Locus ID:YP_3868	KL Distance:0.288
Locus ID:YP_1030	KL Distance:0.288
Locus ID:YP_1053	KL Distance:0.288
Locus ID:YP_3366	KL Distance:0.288
Locus ID:YP_0719	KL Distance:0.287
Locus ID:YP_1781	KL Distance:0.287
Locus ID:YP_3386	KL Distance:0.287
Locus ID:YP_0204	KL Distance:0.287
Locus ID:YP_4035	KL Distance:0.287
Locus ID:YP_0212	KL Distance:0.287
Locus ID:YP_0981	KL Distance:0.287
Locus ID:YP_2408	KL Distance:0.287
Locus ID:YP_1313	KL Distance:0.287
Locus ID:YP_0958	KL Distance:0.287
Locus ID:YP_3352	KL Distance:0.287
Locus ID:YP_2274	KL Distance:0.287
Locus ID:YP_1231	KL Distance:0.287
Locus ID:YP_2479	KL Distance:0.287
Locus ID:YP_0985	KL Distance:0.286
Locus ID:YP_0009	KL Distance:0.286
Locus ID:YP_1291	KL Distance:0.286
Locus ID:YP_3574	KL Distance:0.286
Locus ID:YP_1552	KL Distance:0.286
Locus ID:YP_3083	KL Distance:0.286
Locus ID:YP_0423	KL Distance:0.286
Locus ID:YP_2786	KL Distance:0.286
Locus ID:YP_0595	KL Distance:0.286
Locus ID:YP_0548	KL Distance:0.285
Locus ID:YP_1799	KL Distance:0.285
Locus ID:YP_1790	KL Distance:0.285
Locus ID:YP_3936	KL Distance:0.285
Locus ID:YP_3879	KL Distance:0.285
Locus ID:YP_3533	KL Distance:0.285
Locus ID:YP_2123	KL Distance:0.285
Locus ID:YP_2025	KL Distance:0.285
Locus ID:YP_2427	KL Distance:0.284
Locus ID:YP_0246	KL Distance:0.284
